FieldID	name	fieldType	IndexType	unitSet	unitModel	unitMetric	unitEnglish	SLower	SUpper	HLower	HUpper	Source	Type	ReadOnly	HasHelp	Access	Transfer	D1 type	D1 set	D1 model	D1 metric	D1 English	D1 BSL	D1 BSU	D1 BHL	D1 BHU	D1 source	D2 type	D2 set	D2 model	D2 metric	D2 English	D2 BSL	D2 BSU	D2 BHL	D2 BHU	D2 source	D3 type	D3 set	D3 model	D3 metric	D3 English	D3 BSL	D3 BSU	D3 BHL	D3 BHU	D3 source
kPlantBiomassToEnergyRatioCO2Params	S curve - effect of CO2 concentration on biomass-to-energy ratio / 100	1 Single	4 S curve	17 kNonChangingUnitKilogramsPHectarePMegaJoulePSquareMeter	1 kg/ha/MJ/m2	1 kg/ha/MJ/m2	1 kg/ha/MJ/m2	330	660	300	1000	1 Epic	1 Parameter	TRUE	FALSE	params.biomassToEnergyRatioCO2Params	3 S curve	0 Undefined
kPlantBiomassToEnergyRatioVPDParam	Parameter relating biomass-energy ratio to VPD	1 Single	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	999	0	999	1 Epic	1 Parameter	FALSE	FALSE	params.biomassToEnergyRatioVPDParam	1 MFD	0 Undefined
kPlantCanopyResistParam	Canopy resistance for transpiration	1 Single	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	10	0	100	2 KfSoft	1 Parameter	FALSE	FALSE	params.canopyResistParam	1 MFD	0 Undefined
kPlantCriticalAerationFactor_frn	Critical aeration factor	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0.75	1	0.75	1	1 Epic	1 Parameter	FALSE	FALSE	params.criticalAerationFactor_frn	1 MFD	0 Undefined
kPlantCumFloralInductionUnits	Floral induction accumulated photothermal units	1 Single	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	50	0	50	2 KfSoft	2 State variable	FALSE	FALSE	development.cumFloralInductionUnits	1 MFD	0 Undefined
kPlantCumFloralInitiationUnits	Floral initiation accumulated thermal units	1 Single	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	50	0	50	2 KfSoft	2 State variable	FALSE	FALSE	development.cumFloralInitiationUnits	1 MFD	0 Undefined
kPlantCumHeatUnits	Cumulative heat units	1 Single	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	1000	0	1000000	2 KfSoft	2 State variable	TRUE	FALSE	development.cumHeatUnits	1 MFD	0 Undefined
kPlantCumPotPlantEvap_mm	Cumulative potential transpiration	1 Single	1 None	12 kDepthOfWater	1 mm (liquid)	1 mm (liquid)	2 in (liquid)	0	1000	0	1000000	3 Unit set	4 Output variable	TRUE	FALSE	water.cumPotPlantEvap_mm	1 MFD	0 Undefined
kPlantCumVernalizationUnits	Vernalization accumulated thermal units	1 Single	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	50	0	50	2 KfSoft	2 State variable	FALSE	FALSE	development.cumVernalizationUnits	1 MFD	0 Undefined
kPlantCumWaterUse_mm	Cumulative water use	1 Single	1 None	12 kDepthOfWater	1 mm (liquid)	1 mm (liquid)	2 in (liquid)	0	1000	0	1000000	3 Unit set	4 Output variable	TRUE	FALSE	water.cumWaterUse_mm	1 MFD	0 Undefined
kPlantDayPlanted	"Day planted, days from January 1"	2 Integer	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	0	365	0	365	3 Unit set	4 Output variable	TRUE	FALSE	development.dayPlanted	1 MFD	0 Undefined
kPlantDaysGerminating	Days seed has been germinating	2 Integer	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	0	365	0	10000	2 KfSoft	4 Output variable	FALSE	FALSE	development.daysGerminating	1 MFD	0 Undefined
kPlantDiameter_m	Plant area covered	1 Single	1 None	2 kLength	4 m	4 m	7 ft	0	10	0	100	2 KfSoft	4 Output variable	TRUE	FALSE	biomass.diameter_m	1 MFD	0 Undefined
kPlantFloralInductionParams	S Curve - effect of hours of darkness on fraction of floral induction day	1 Single	4 S curve	24 kNonChangingUnitHours	1 hours	1 hours	1 hours	0	24	0	24	3 Unit set	1 Parameter	FALSE	FALSE	params.floralInductionParams	3 S curve	0 Undefined										
kPlantFlowersAndFruits_tPha	Total fruit/flower biomass	1 Single	1 None	9 kMassOverArea	2 t/ha	3 kg/m2	9 lb/ft2	0	0.001	0	1000000	3 Unit set	2 State variable	TRUE	FALSE	biomass.flowersAndFruits_tPha	2 BDConvert	3 Area	6 kMass	4 t	2 g	6 lb	0	1.00E-06	0	1000000	3 Unit set	0 Undefined
kPlantFractionOfGrowingSeasonWhenLeafDeclineStarts_frn	Heat unit index when LAI decline starts	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0.4	0.99	0.4	0.99	1 Epic	1 Parameter	FALSE	TRUE	params.fractionOfGrowingSeasonWhenLeafDeclineStarts_frn	1 MFD	0 Undefined										
kPlantFractionReproductiveAllocationAtMaturity_frn	"Reproductive fraction of total biomass at maturity, by weight"	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0	1	3 Unit set	1 Parameter	FALSE	FALSE	params.fractionReproductiveAllocationAtMaturity_frn	1 MFD	0 Undefined										
kPlantFractionRootWtAtEmergence_frn	"Root fraction of total biomass at emergence, by weight"	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	0.999	0	10.999	1 Epic	1 Parameter	FALSE	FALSE	params.fractionRootWtAtEmergence_frn	1 MFD	0 Undefined										
